ad_set,ad,topic,variant,primary_text_with_footer
AS_Lawsuit_NW,Creditor_Suing,Creditor suing you,Reassurance,"Facing a creditor's lawsuit on your own? You don't have to, and it isn't as one-sided as it looks. Our attorneys can stand in your corner, file your answer, and hold the creditor to proof. You could reach an outcome you can live with.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Creditor_Suing,Creditor suing you,Affordability,"Up against a creditor's lawyers but can't match their budget? You don't have to. For a flat monthly fee, our attorneys can file your answer and hold the creditor to their burden of proof. Level the field, affordably.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Creditor_Suing,Creditor suing you,Fresh Start,"What if you weren't facing this creditor alone anymore? Right now it feels stacked from the start. Our attorneys can step in and hold them to their proof. The case could end in a dismissal or a settlement you can move on from.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Served_Papers,Just got served,Default,"Just got served court papers? Your stomach dropped and it feels final, but it isn't. Our attorneys can review the summons, file your answer in time, and make the collector prove the debt. Acting now could keep the case from becoming a default judgment.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Served_Papers,Just got served,Fight,"Someone just put court papers in your hand? The collector is counting on panic and a missed deadline. Our attorneys can review the summons, file your answer in time, and make them prove the debt. Answer back instead of freezing.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Served_Papers,Just got served,Reassurance,"Just been served and your stomach dropped? Take a breath, this is handle-able and you are not alone. Our attorneys can review the summons, file your response in time, and make the collector prove the debt. You could be okay.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Served_Papers,Just got served,Affordability,"Served papers and afraid of what a lawyer costs? Our defense is a flat monthly fee. Our attorneys can review the summons, file your answer in time, and make the collector prove the debt. Help that fits your budget, starting now.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Lawsuit_NW,Served_Papers,Just got served,Fresh Start,"What if getting served was the turning point, not the end? Right now it feels final. Our attorneys can file your answer in time and make the collector prove the debt. Acting now could keep it from becoming a judgment you carry.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Creditor_Harassment,Creditor harassment,Default,"Phone ringing before work and after dinner with collector calls? The messages pile up and the constant pressure wears you down. Our attorneys can send a cease-communication letter so collectors have to deal with us instead of you. The calls could stop for good.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Creditor_Harassment,Creditor harassment,Fight,"Letting a collector own your phone before work and after dinner? They keep calling because it works. Our attorneys can send a cease-communication letter so they have to go through us. Take your phone back.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Creditor_Harassment,Creditor harassment,Reassurance,"Worn down by calls that never seem to stop? The constant pressure gets to anyone, and you can hand it off. Our attorneys can send a cease-communication letter so collectors deal with us, not you. The calls could stop for good.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Creditor_Harassment,Creditor harassment,Affordability,"Want the harassment to end without a big legal bill? A flat monthly fee covers it. Our attorneys can send a cease-communication letter so collectors deal with us. Peace and quiet, at a price you can plan for.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Creditor_Harassment,Creditor harassment,Fresh Start,"What if your phone went quiet again? Right now the messages just pile up. Our attorneys can send a cease-communication letter so collectors deal with us. The calls could stop, and your days could feel like yours again.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,FDCPA_Harassment,FDCPA violations,Default,"Are collectors threatening you, calling at odd hours, and contacting people you know? Most people never learn that much of it is against the law. Our attorneys can document the violations and sue the collector under the FDCPA. They could owe you up to $1,000 per violation.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,FDCPA_Harassment,FDCPA violations,Fight,"Letting collectors threaten you and call people you know? A lot of that is illegal, and they're betting you won't act. Our attorneys can document the violations and sue them under the FDCPA. Make their tactics cost them.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,FDCPA_Harassment,FDCPA violations,Reassurance,"Feeling cornered by collector threats and odd-hour calls? Most people never realize how much of it breaks the law. Our attorneys can document the violations and sue under the FDCPA. You have more protection than you think.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,FDCPA_Harassment,FDCPA violations,Affordability,"Want to hold a collector accountable without paying upfront? Our flat monthly fee covers it. Our attorneys can document the violations and sue under the FDCPA. They could owe you up to $1,000 per violation, defense that can pay for itself.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,FDCPA_Harassment,FDCPA violations,Fresh Start,"What if the threats and odd-hour calls were behind you? Right now they wear you down. Our attorneys can document the violations and sue under the FDCPA. They could owe you up to $1,000 per violation, and you could move on.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Multiple_Collectors,Multiple collectors,Default,"Juggling calls from several collectors at once? Different debts, no end in sight, and keeping track of them all is exhausting. Our attorneys can take on every collector at once and challenge each debt. Every violation could add to what they owe you.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Multiple_Collectors,Multiple collectors,Fight,"Letting a pile of collectors wear you down one call at a time? Divided you lose, together they are exposed. Our attorneys can take on every collector at once and challenge each debt. Turn their numbers against them.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Multiple_Collectors,Multiple collectors,Reassurance,"Overwhelmed by collectors coming from every direction? It is exhausting, and you don't have to track them all yourself. Our attorneys can take on every collector at once and challenge each debt. You could finally exhale.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Multiple_Collectors,Multiple collectors,Affordability,"Too many collectors, not enough budget for a lawyer? One flat monthly fee covers all of them. Our attorneys can take on every collector at once and challenge each debt. One team for the whole mess, affordably.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Harassment_NW,Multiple_Collectors,Multiple collectors,Fresh Start,"What if the endless collector calls finally stopped? Right now keeping track of them all is exhausting. Our attorneys can take on every collector at once and challenge each debt. You could clear the noise and move forward.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Harassment,Medical collector calls,Default,"Is a medical collector calling about a bill you're not sure you even owe? Medical billing is full of errors and duplicate charges. Our attorneys can send a cease-communication letter and demand the collector validate the bill. You could owe far less than they claim, or nothing at all.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Harassment,Medical collector calls,Fight,"Letting a medical collector hound you over a bill you're not sure you owe? Medical billing is riddled with errors they hope you won't question. Our attorneys can demand the collector validate the bill and stop the calls. Make them prove it.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Harassment,Medical collector calls,Reassurance,"Getting calls about a medical bill you don't even recognize? It's confusing and stressful, and you're not alone in it. Our attorneys can send a cease-communication letter and demand the collector validate the bill. You could owe far less than they claim.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Harassment,Medical collector calls,Affordability,"Hassled over a medical bill but can't take on legal costs? Our flat monthly fee covers it. Our attorneys can demand the collector validate the bill and stop the calls. You could owe far less, or nothing, without a big retainer.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Harassment,Medical collector calls,Fresh Start,"What if that medical bill stopped haunting your phone? Right now the calls keep coming. Our attorneys can demand the collector validate the bill and stop the contact. You could owe far less than they claim, and breathe again.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Lawsuit,Medical debt lawsuit,Default,"Sued over a medical bill? The deadline to respond is closing in, and many of these bills carry coding errors and inflated charges. Our attorneys can file your answer and demand the provider prove the amount. Your case could be dismissed or settled for less.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Lawsuit,Medical debt lawsuit,Fight,"Sued over a medical bill you never got to question? Hospitals and collectors expect a quiet default. Our attorneys can file your answer and demand the provider prove the amount. Make them back up every line.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Lawsuit,Medical debt lawsuit,Reassurance,"A lawsuit over a medical bill, on top of everything else? It's a lot, and it is more workable than it feels. Our attorneys can file your answer and demand the provider prove the amount. Your case could be dismissed or settled for less.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Lawsuit,Medical debt lawsuit,Affordability,"Sued over a medical bill and worried about lawyer fees? Defense is a flat monthly fee. Our attorneys can file your answer and demand the provider prove the amount. A solid defense to a medical lawsuit, at a price you can manage.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Lawsuit,Medical debt lawsuit,Fresh Start,"What if a medical lawsuit didn't have to derail your year? The deadline is closing in. Our attorneys can file your answer and challenge the charges. Your case could be dismissed or settled, and you could move on.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Rights,Medical debt & credit,Default,"Is an old medical bill dragging down your credit score? It follows you everywhere, and you may have more rights than you realize. Our attorneys can dispute inaccurate medical debt and push to have it removed from your report. Your credit could start to recover.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Rights,Medical debt & credit,Fight,"Letting an old medical bill quietly wreck your credit? Inaccurate medical debt sits on reports because no one challenges it. Our attorneys can dispute it and push to have it removed. Stop letting it drag your score down.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Rights,Medical debt & credit,Reassurance,"Frustrated watching a medical bill drag your credit down? You likely have more rights here than you realize. Our attorneys can dispute inaccurate medical debt and push to remove it from your report. Your credit could start to recover.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Rights,Medical debt & credit,Affordability,"Want medical debt off your credit without paying upfront? Our flat monthly fee covers the work. Our attorneys can dispute inaccurate medical debt and push to have it removed. A cleaner credit report, affordably.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_MedicalDebt_NW,Medical_Rights,Medical debt & credit,Fresh Start,"What if an old medical bill stopped following you everywhere? Right now it shadows every application. Our attorneys can dispute it and push to have it removed from your report. Your credit could start fresh.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Pre_Judgment_Garn,Prevent garnishment,Default,"Worried a lawsuit could start garnishing your wages? The threat of a smaller paycheck is frightening, and once it starts it is harder to undo. Our attorneys can respond to the case now and fight the judgment that leads to garnishment. More of your paycheck could stay yours.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Pre_Judgment_Garn,Prevent garnishment,Fight,"Going to let a lawsuit quietly turn into a garnishment? Once the judgment lands, they reach straight for your paycheck. Our attorneys can respond now and fight the judgment that leads to garnishment. Stop it before it starts.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Pre_Judgment_Garn,Prevent garnishment,Reassurance,"Scared a lawsuit could start taking your wages? That fear is valid, and there is something you can do early. Our attorneys can respond to the case now and fight the judgment behind garnishment. More of your paycheck could stay yours.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Pre_Judgment_Garn,Prevent garnishment,Affordability,"Worried about garnishment but not about affording a lawyer? A flat monthly fee covers it. Our attorneys can respond to the case now and fight the judgment that leads to garnishment. Protect your paycheck, affordably.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Pre_Judgment_Garn,Prevent garnishment,Fresh Start,"What if your paycheck stayed whole? Right now a looming judgment threatens it. Our attorneys can respond to the case now and fight the garnishment before it starts. More of your pay could stay yours, and you could plan ahead.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Post_Judgment_Garn,Active garnishment,Default,"Is your paycheck already being garnished? Every check feels short, and it can feel like there is nothing you can do. Our attorneys can file the exemption motion and challenge the garnishment. You could qualify for protection that puts money back in your pocket.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Post_Judgment_Garn,Active garnishment,Fight,"Watching them take a cut of every paycheck? A garnishment isn't always the last word. Our attorneys can file the exemption motion and challenge it. Fight to claw your wages back.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Post_Judgment_Garn,Active garnishment,Reassurance,"Feeling helpless as your check comes up short each time? It can feel like there's nothing left to do, but there often is. Our attorneys can file the exemption motion and challenge the garnishment. You could qualify for protection.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Post_Judgment_Garn,Active garnishment,Affordability,"Already garnished and can't spare money for a lawyer? Our flat monthly fee covers it. Our attorneys can file the exemption motion and challenge the garnishment. You could put money back in your pocket, without a big retainer.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
AS_Garnishment_NW,Post_Judgment_Garn,Active garnishment,Fresh Start,"What if your full paycheck came back? Right now every check feels short. Our attorneys can file the exemption motion and challenge the garnishment. You could qualify for protection and start rebuilding.

Crēdo Legal. The choice of a lawyer is an important decision and should not be based solely upon advertisements."
